egg,version,title,productId,publisher,platform,genre,year,mystery1,gameFilename,mystery2,mystery3,owned,thumbnailFilename,description,mystery5,manualFilename,manualDate,musicFilename,musicDate,lastUpdate,mystery6,mystery7,mystery8,mystery9,region,mystery10
egg,1.0.0.3,レジオナルパワー,1812,コスモスコンピュータ,PC-9801,SLG,----,0,,,0,False,,準備中,1,,,,,20230307,20521231,20230307,20521231,,0,0
egg,1.0.0.3,ソフトでハードな物語II,1813,システムサコム,PC-9801,ADV,----,0,,,0,False,,準備中,1,,,,,20230314,20521231,20230314,20521231,,0,440
egg,1.0.0.3,ロードス島戦記  灰色の魔女,1814,ハミングバードソフト,MSX2,RPG,----,0,,,0,False,,準備中,1,,,,,20230321,20521231,20230321,20521231,,0,440
egg,1.0.0.3,イース,1815,日本ファルコム,X1,A・RPG,----,0,,,0,False,,準備中,1,,,,,20230328,20521231,20230328,20521231,,0,440
