title,romanized,productId,platform,gameFilename,thumbnailFilename,manualFilename,musicFilename,Store Page
AX-1　デモンストレーション,AX-1 - Demonstration,672,PC-6001,EBS0007a.bin,EBS0007.bmp,,,https://www.amusement-center.com/project/egg/game/?product_id=672
AX-2　デュアル・エイリアン,AX-2 - Dual Alien,673,PC-6001,EBS0008a.bin,EBS0008.bmp,EBS0008m.bin,,https://www.amusement-center.com/project/egg/game/?product_id=673
AX-3　インターファイト,AX-3 - Interfight,675,PC-6001,EBS0009a.bin,EBS0009.bmp,EBS0009m.bin,,https://www.amusement-center.com/project/egg/game/?product_id=675
AX-3　スロットポーカー,AX-3 - Slot Poker,689,PC-6001,EBS0012a.bin,EBS0012.bmp,EBS0012m.bin,,https://www.amusement-center.com/project/egg/game/?product_id=689
AX-4　ブラックホール  ,AX-4 - Black Hole,684,PC-6001,EBS0011a.bin,EBS0011.bmp,EBS0011m.bin,,https://www.amusement-center.com/project/egg/game/?product_id=684
AX-5　オリオン,AX-5 - Olion,680,PC-6001,EBS0010a.bin,EBS0010.bmp,EBS0010m.bin,,https://www.amusement-center.com/project/egg/game/?product_id=680
A列車で行こう,A Ressha de Ikou,1120,PC-8801,ART0018a.bin,ART0018.bmp,ART0018m.bin,,https://www.amusement-center.com/project/egg/game/?product_id=1120
A列車で行こう,A Ressha de Ikou,1286,FM-7,ART0022a.bin,ART0022.bmp,ART0022m.bin,,https://www.amusement-center.com/project/egg/game/?product_id=1286
A列車で行こう4,A Ressha de Ikou 4,1192,PC-9801,ART0021a.bin,ART0021.bmp,ART0021m.bin,,https://www.amusement-center.com/project/egg/game/?product_id=1192
A列車で行こうII,A Ressha de Ikou II,1139,X68000,ART0019a.bin,ART0019.bmp,ART0019m.bin,,https://www.amusement-center.com/project/egg/game/?product_id=1139
A列車で行こうIII,A Ressha de Ikou III,1167,PC-9801,ART0020a.bin,ART0020.bmp,ART0020m.bin,,https://www.amusement-center.com/project/egg/game/?product_id=1167
A列車で行こうIII,A Ressha de Ikou III,1554,PC Engine,ART0029a.bin,ART0029.bmp,ART0029m.bin,,https://www.amusement-center.com/project/egg/game/?product_id=1554
B-ウイング,B-Wings,841,FC,GMD0002a.bin,GMD0002.bmp,GMD0002m.bin,,https://www.amusement-center.com/project/egg/game/?product_id=841
B.G.V　アストロスコープ  ,B.G.V - Astro Scope,774,PC-9801,COM0039a.bin,COM0039.bmp,,,https://www.amusement-center.com/project/egg/game/?product_id=774
B.G.V　こいのぼり,B.G.V - Koi Nobori,763,PC-9801,COM0027a.bin,COM0027.bmp,COM0027m.bin,,https://www.amusement-center.com/project/egg/game/?product_id=763
B.G.V　雨,B.G.V - Ame,769,PC-9801,COM0037a.bin,COM0037.bmp,,,https://www.amusement-center.com/project/egg/game/?product_id=769
BANG!BANG!IVAN,Bang! Bang! Ivan!,1258,Windows,COM5025a.bin,,COM5025m.bin,,https://www.amusement-center.com/project/egg/game/?product_id=1258
